task_index,total_latency_ms,scheduling_latency_ms,execution_latency_ms
0,859706.88,0.00,0.00
1,462432.15,0.00,0.00
2,638530.73,0.00,0.00
3,516552.93,0.00,0.00
4,633745.91,0.00,0.00
5,1085458.99,0.00,0.00
6,802727.70,0.00,0.00
7,958384.28,0.00,0.00
8,837584.73,0.00,0.00
9,1058716.06,0.00,0.00
10,551493.17,0.00,0.00
11,763172.86,0.00,0.00
12,640435.46,0.00,0.00
13,934642.31,0.00,0.00
14,2655912.88,0.00,0.00
15,2770874.98,0.00,0.00
16,505319.60,0.00,0.00
17,2861965.89,0.00,0.00
18,964798.45,0.00,0.00
19,1603311.54,0.00,0.00
20,1707916.50,0.00,0.00
21,1146574.50,0.00,0.00
22,792318.34,0.00,0.00
23,890467.64,0.00,0.00
24,1885380.03,0.00,0.00
25,3255326.51,0.00,0.00
26,987097.74,0.00,0.00
27,1983742.71,0.00,0.00
28,1072302.58,0.00,0.00
29,2085776.33,0.00,0.00
30,1575141.43,0.00,0.00
31,2930263.76,0.00,0.00
32,2394609.93,0.00,0.00
33,3284123.90,0.00,0.00
34,3392032.86,0.00,0.00
35,2738337.76,0.00,0.00
36,2343977.93,0.00,0.00
37,1077297.69,0.00,0.00
38,4340445.52,0.00,0.00
39,415822.98,0.00,0.00
40,2844123.36,0.00,0.00
41,2449053.76,0.00,0.00
42,4505394.70,0.00,0.00
43,614767.07,0.00,0.00
44,2610162.26,0.00,0.00
45,697912.93,0.00,0.00
46,2763856.17,0.00,0.00
47,3225996.49,0.00,0.00
48,787396.43,0.00,0.00
49,4897255.90,0.00,0.00
50,2858688.59,0.00,0.00
51,946475.27,0.00,0.00
52,398851.39,0.00,0.00
53,2786986.35,0.00,0.00
54,5154772.52,0.00,0.00
55,591866.25,0.00,0.00
56,2889211.89,0.00,0.00
57,5270774.84,0.00,0.00
58,3147280.69,0.00,0.00
59,762950.66,0.00,0.00
60,3238465.07,0.00,0.00
61,5461524.25,0.00,0.00
62,870357.99,0.00,0.00
63,4971463.68,0.00,0.00
64,742484.57,0.00,0.00
65,5634314.06,0.00,0.00
66,5141800.64,0.00,0.00
67,1037406.92,0.00,0.00
68,2818519.83,0.00,0.00
69,1205593.59,0.00,0.00
70,1315530.54,0.00,0.00
71,5554752.59,0.00,0.00
72,3181307.55,0.00,0.00
73,1481346.85,0.00,0.00
74,5642752.17,0.00,0.00
75,3288380.15,0.00,0.00
76,5822390.08,0.00,0.00
77,2694044.35,0.00,0.00
78,6547422.41,0.00,0.00
79,4172231.44,0.00,0.00
80,3803251.03,0.00,0.00
81,6265587.57,0.00,0.00
82,4340964.08,0.00,0.00
83,3163801.91,0.00,0.00
84,4514634.85,0.00,0.00
85,3267350.91,0.00,0.00
86,693847.18,0.00,0.00
87,2644473.08,0.00,0.00
88,5077908.28,0.00,0.00
89,5262505.53,0.00,0.00
90,3116640.57,0.00,0.00
91,7402077.67,0.00,0.00
92,498883.96,0.00,0.00
93,3222594.02,0.00,0.00
94,5439829.59,0.00,0.00
95,602727.65,0.00,0.00
96,5076811.79,0.00,0.00
97,5561306.95,0.00,0.00
98,775525.33,0.00,0.00
99,5715048.79,0.00,0.00
100,5295062.07,0.00,0.00
101,3646077.16,0.00,0.00
102,3165576.93,0.00,0.00
103,956865.07,0.00,0.00
104,7410254.00,0.00,0.00
105,1139817.00,0.00,0.00
106,3352034.33,0.00,0.00
107,7602025.27,0.00,0.00
108,5754076.00,0.00,0.00
